Date	Water_level
01.01.1991	97
02.01.1991	80,6
03.01.1991	85
04.01.1991	91
05.01.1991	92,5
06.01.1991	103
07.01.1991	109
08.01.1991	114
09.01.1991	109
10.01.1991	100
11.01.1991	94
12.01.1991	102
13.01.1991	138
14.01.1991	129
15.01.1991	105
16.01.1991	94
17.01.1991	79,9
18.01.1991	74,2
19.01.1991	74,3
20.01.1991	68,1
21.01.1991	63
22.01.1991	58,1
23.01.1991	53,3
24.01.1991	49,8
25.01.1991	49,1
26.01.1991	44,7
27.01.1991	40
28.01.1991	38,6
29.01.1991	36,8
30.01.1991	37,8
31.01.1991	34,7
01.02.1991	29,5
02.02.1991	26,3
03.02.1991	23,8
04.02.1991	23,3
05.02.1991	22,8
06.02.1991	21,8
07.02.1991	20,7
08.02.1991	20,4
09.02.1991	21,4
10.02.1991	23,3
11.02.1991	25,1
12.02.1991	25,1
13.02.1991	25,7
14.02.1991	25,7
15.02.1991	25,1
16.02.1991	23,8
17.02.1991	23,3
18.02.1991	21,8
19.02.1991	21,8
20.02.1991	22,3
21.02.1991	21,8
22.02.1991	21,8
23.02.1991	21,4
24.02.1991	21,4
25.02.1991	21,8
26.02.1991	25,1
27.02.1991	29,5
28.02.1991	34,7
01.03.1991	34
02.03.1991	30,1
03.03.1991	27
04.03.1991	25,1
05.03.1991	25,8
06.03.1991	29
07.03.1991	33
08.03.1991	36,6
09.03.1991	37,5
10.03.1991	45,2
11.03.1991	94
12.03.1991	117
13.03.1991	105
14.03.1991	109
15.03.1991	111
16.03.1991	117
17.03.1991	120
18.03.1991	115
19.03.1991	109
20.03.1991	89,5
21.03.1991	80,6
22.03.1991	85
23.03.1991	88
24.03.1991	91
25.03.1991	85
26.03.1991	76,4
27.03.1991	68
28.03.1991	63,8
29.03.1991	58,2
30.03.1991	55,4
31.03.1991	54
01.04.1991	54
02.04.1991	54
03.04.1991	52,9
04.04.1991	51,8
05.04.1991	49,6
06.04.1991	47,4
07.04.1991	46,3
08.04.1991	44,1
09.04.1991	43
10.04.1991	49,6
11.04.1991	49,6
