,y
0,29.355172413793113
1,16.2655172413793
2,23.06206896551724
3,29.310344827586206
4,30.210344827586212
5,42.017241379310335
6,49.186206896551724
7,52.45862068965517
8,44.62758620689655
9,33.60344827586208
10,25.30000000000001
11,33.95517241379311
12,60.58275862068966
13,57.927586206896535
14,39.19655172413795
15,30.03448275862069
16,18.372413793103455
17,14.906896551724138
18,17.868965517241378
19,8.155172413793096
20,2.144827586206901
21,-4.01724137931032
22,-14.748275862068951
23,-23.893103448275866
24,-27.120689655172434
25,-30.765517241379314
26,-27.258620689655174
27,-30.6655172413793
28,-31.682758620689654
29,-31.686206896551724
30,-28.827586206896548
31,-32.19999999999999
32,-37.23103448275863
33,-39.50689655172414
34,-50.49310344827586
35,-55.45517241379311
36,-61.14827586206897
37,-68.83448275862067
38,-72.40344827586208
39,-71.63103448275862
40,-69.87931034482759
41,-63.60344827586207
42,-58.78275862068964
43,-52.35172413793103
44,-59.82758620689654
45,-62.08620689655175
46,-64.51724137931036
47,-67.9103448275862
48,-62.47931034482758
49,-54.3241379310345
50,-49.424137931034466
51,-47.755172413793105
52,-48.66206896551725
53,-53.268965517241405
54,-60.85517241379312
55,-64.39655172413795
56,-66.09310344827585
57,-68.02758620689656
58,-61.510344827586195
59,-61.20689655172416
60,-76.22413793103448
61,-93.60689655172415
62,-96.29999999999998
63,-103.86896551724139
64,-110.18965517241378
65,-98.24137931034485
66,-83.53793103448277
67,-85.28620689655173
68,-87.31034482758623
69,-43.66206896551725
70,-24.793103448275872
71,-36.268965517241384
72,-27.85172413793103
73,-26.0
74,-15.451724137931024
75,-11.224137931034505
76,-24.403448275862075
77,-56.31379310344829
78,-86.3586206896552
79,-86.15172413793104
80,-70.79655172413791
81,-61.70689655172413
82,-50.66896551724136
83,-53.65862068965518
84,-65.46551724137933
85,-87.85862068965517
86,-100.52068965517243
87,-112.06206896551724
88,-118.63103448275862
89,-123.59655172413792
90,-121.41034482758621
91,-120.9241379310345
92,-114.5689655172414
93,-115.13103448275864
94,-125.6793103448276
95,-140.49655172413793
96,-154.7344827586207
97,-154.73793103448278
98,-140.36206896551724
99,-116.58965517241376
100,-107.03103448275863
101,-106.92413793103448
102,-114.57241379310348
103,-128.22413793103448
104,-124.33103448275864
105,-116.17586206896554
106,-119.86206896551724
107,-116.43448275862073
108,-96.63793103448278
109,122.34137931034485
110,64.27241379310342
111,-15.227586206896575
112,-24.82758620689654
113,-35.85172413793106
114,-52.09655172413798
115,-47.98620689655175
116,-50.61724137931034
117,-50.77241379310348
118,-54.60689655172416
119,-43.482758620689665
120,-35.60344827586211
121,-35.83793103448279
122,-34.596551724137946
123,-29.275862068965495
124,-28.679310344827606
125,-25.28965517241381
126,-28.75517241379309
127,-37.59655172413794
128,17.693103448275878
129,87.2896551724138
130,62.95862068965516
131,39.23793103448274
132,17.57931034482759
133,9.224137931034505
134,29.5896551724138
135,-5.379310344827587
136,-24.279310344827593
137,-26.83103448275864
138,-13.24482758620691
139,217.8551724137931
140,437.5
141,347.0275862068965
142,243.3862068965517
143,123.9965517241379
144,44.28275862068966
145,14.951724137931038
146,8.582758620689646
147,39.00344827586207
148,414.6758620689655
149,535.2413793103448
150,434.0137931034483
151,312.1931034482758
152,217.65517241379308
153,143.27241379310345
154,87.20689655172413
155,72.37586206896552
156,74.53793103448275
157,68.73793103448276
158,47.73793103448274
159,51.03793103448277
160,68.9551724137931
161,44.46551724137929
162,66.26206896551724
163,85.89310344827585
164,51.924137931034494
165,36.42413793103448
166,28.024137931034474
167,23.951724137931038
168,17.724137931034477
169,-1.1965517241379473
170,-8.886206896551712
171,-11.786206896551747
172,-6.300000000000011
173,0.8034482758620811
174,-17.65862068965515
175,-29.22068965517242
176,-33.465517241379345
177,-40.420689655172424
178,-51.38275862068967
179,-49.95862068965519
180,-50.36206896551724
181,-23.827586206896555
182,-16.08620689655173
183,-11.403448275862061
184,-1.8931034482758378
185,-3.634482758620692
186,70.87241379310345
187,82.00344827586207
188,4.803448275862081
189,-21.255172413793105
190,-38.87931034482759
191,-32.41379310344827
192,-21.927586206896535
193,-26.927586206896564
194,-27.710344827586212
195,-25.048275862068962
196,-29.62068965517242
197,-36.110344827586204
198,-36.52758620689656
199,-37.34482758620689
200,-34.406896551724145
201,-30.965517241379317
202,-27.148275862068964
203,-32.131034482758615
204,-61.831034482758625
205,-88.11724137931034
206,-93.60689655172415
207,-120.24827586206897
208,16.1758620689655
209,202.6206896551724
210,100.52758620689653
211,117.04827586206895
212,130.4310344827586
213,67.10689655172413
214,138.97241379310344
215,201.7793103448276
216,159.70344827586206
217,180.79655172413794
218,170.52068965517242
219,108.40344827586206
220,68.16896551724139
221,41.31724137931033
222,36.59655172413794
223,26.17586206896553
224,29.175862068965515
225,46.11379310344829
226,25.84137931034482
227,-0.5206896551724043
228,-4.737931034482742
229,-7.655172413793096
230,-4.934482758620675
231,2.5586206896551715
232,3.7517241379310278
233,3.358620689655176
234,0.2965517241379274
235,-3.3310344827586107
236,-6.720689655172407
237,-7.003448275862077
238,-3.313793103448269
239,-12.906896551724138
240,-17.11034482758621
241,-1.9793103448275744
242,25.95172413793103
243,15.217241379310344
244,-0.36206896551724554
245,-17.296551724137927
246,-10.57931034482759
247,-5.927586206896542
248,-14.186206896551717
249,-28.448275862068982
250,-42.71724137931035
251,-31.22758620689656
252,-20.386206896551727
253,-19.744827586206895
254,-17.206896551724135
255,-40.39655172413794
256,-37.96206896551726
257,-29.69310344827587
258,-24.134482758620678
259,-23.46206896551724
260,-27.27586206896551
261,-23.13793103448274
262,-9.39310344827588
263,-21.675862068965515
264,-22.98965517241379
265,-16.60689655172412
266,-16.944827586206884
267,3.3379310344827644
268,6.489655172413805
269,-6.551724137931032
270,-7.165517241379305
271,13.200000000000017
272,20.755172413793105
273,12.234482758620686
274,-0.07931034482758292
275,7.737931034482756
276,13.634482758620706
277,6.224137931034498
278,-4.186206896551724
279,-8.920689655172403
280,-8.765517241379307
281,-9.727586206896554
282,-10.424137931034466
283,-11.789655172413774
284,-13.872413793103455
285,-9.499999999999993
286,29.468965517241365
287,47.186206896551724
288,28.331034482758618
289,28.048275862068962
290,47.97931034482759
291,49.0896551724138
292,81.30689655172412
293,232.1413793103448
294,243.07241379310346
295,149.4758620689655
296,119.11379310344829
297,106.45172413793105
298,97.2103448275862
299,86.30689655172414
300,72.27586206896552
301,58.765517241379314
302,39.8758620689655
303,28.665517241379305
304,30.141379310344846
305,21.80689655172415
306,20.758620689655174
307,20.220689655172414
308,5.89310344827588
309,50.79310344827584
310,75.53103448275861
311,43.04482758620689
312,32.16206896551725
313,19.77931034482758
314,30.134482758620678
315,36.258620689655174
316,21.886206896551727
317,11.386206896551712
318,2.5862068965517295
319,19.865517241379308
320,40.113793103448245
321,14.903448275862061
322,35.42758620689655
323,54.62413793103448
324,41.6206896551724
325,35.679310344827584
326,43.12068965517243
327,33.2655172413793
328,26.77931034482758
329,24.593103448275862
330,17.755172413793105
331,9.858620689655183
332,9.700000000000003
333,6.937931034482766
334,4.420689655172417
335,2.7793103448275787
336,-2.0551724137930947
337,-14.586206896551737
338,-19.627586206896552
339,-18.724137931034484
340,-16.38275862068965
341,-30.68620689655171
342,-47.27241379310345
343,-47.986206896551714
344,-37.779310344827586
345,-27.94137931034482
346,-34.53448275862069
347,-49.61724137931033
348,-44.40344827586208
349,-37.63448275862071
350,-38.31379310344828
351,-34.83103448275864
352,-28.45172413793103
353,-24.627586206896545
354,-23.0
355,-25.37241379310344
356,-19.627586206896545
357,-18.56896551724138
358,-28.172413793103452
359,-36.14137931034483
360,-42.331034482758625
361,-44.07931034482759
362,-40.993103448275875
363,-35.286206896551725
364,-29.586206896551715
365,-29.144827586206887
366,-26.734482758620693
367,-24.337931034482757
368,-24.089655172413792
369,-24.689655172413786
370,-22.482758620689665
371,-20.413793103448278
372,-21.241379310344833
373,-19.172413793103445
374,-12.396551724137922
375,20.80000000000001
376,37.95517241379311
377,9.08275862068966
378,8.127586206896538
379,3.596551724137953
380,2.6344827586206847
381,14.872413793103455
382,24.206896551724135
383,19.968965517241386
384,3.2551724137931046
385,-7.7551724137930975
386,-27.717241379310323
387,-41.94827586206895
388,-43.59310344827586
389,-41.82068965517244
390,-41.06551724137932
391,-34.258620689655174
392,-38.4655172413793
393,-33.182758620689654
394,-33.28620689655172
395,-27.327586206896548
396,-26.39999999999999
397,-29.131034482758636
398,-30.306896551724137
399,-42.29310344827586
400,-47.45517241379311
401,-52.14827586206897
402,-59.43448275862067
403,-63.40344827586208
404,-62.23103448275863
405,-60.97931034482758
406,-54.303448275862074
407,-43.28275862068964
408,-33.751724137931035
409,-26.227586206896547
410,9.813793103448248
411,47.68275862068964
412,47.7896551724138
413,41.72068965517242
414,20.875862068965503
415,10.275862068965537
416,6.844827586206904
417,-5.262068965517244
418,-17.868965517241406
419,-22.655172413793117
420,-25.196551724137947
421,-30.19310344827585
422,-37.92758620689656
423,-38.010344827586195
424,-35.606896551724155
425,-29.92413793103448
426,-14.606896551724148
427,5.6000000000000085
428,3.3310344827586107
429,-3.1896551724137794
430,-13.241379310344854
431,-14.137931034482776
432,-25.786206896551732
433,-40.01034482758624
434,-52.66206896551725
435,-55.29310344827587
436,-53.268965517241384
437,-50.35172413793103
438,7.0
439,5.5482758620689765
440,-19.224137931034505
441,-43.903448275862075
442,-83.31379310344829
443,-98.0586206896552
444,-93.15172413793104
