,y
0,367.7586206896552
1,364.9310344827586
2,362.7586206896552
3,362.51724137931035
4,363.0
5,362.58620689655174
6,362.0344827586207
7,363.44827586206895
8,365.37931034482756
9,367.0344827586207
10,368.3448275862069
11,367.82758620689657
12,374.17241379310343
13,371.62068965517244
14,368.62068965517244
15,366.8965517241379
16,364.7586206896552
17,362.86206896551727
18,361.2413793103448
19,362.48275862068965
20,362.6896551724138
21,362.7241379310345
22,365.7241379310345
23,368.51724137931035
24,369.86206896551727
25,369.2068965517241
26,364.6551724137931
27,366.2413793103448
28,366.2758620689655
29,366.58620689655174
30,363.6551724137931
31,362.17241379310343
32,362.9655172413793
33,363.51724137931035
34,369.86206896551727
35,372.2413793103448
36,374.58620689655174
37,377.7586206896552
38,379.44827586206895
39,379.17241379310343
40,379.3448275862069
41,377.37931034482756
42,374.8965517241379
43,371.7586206896552
44,375.6551724137931
45,377.3448275862069
46,377.51724137931035
47,377.9310344827586
48,374.2068965517241
49,370.2068965517241
50,368.2068965517241
51,367.2758620689655
52,367.9310344827586
53,370.58620689655174
54,374.44827586206895
55,376.37931034482756
56,379.3448275862069
57,381.6551724137931
58,380.82758620689657
59,381.3448275862069
60,387.55172413793105
61,394.9310344827586
62,394.41379310344826
63,397.8965517241379
64,401.13793103448273
65,397.7586206896552
66,392.9310344827586
67,394.44827586206895
68,399.86206896551727
69,402.41379310344826
70,405.62068965517244
71,405.51724137931035
72,403.2068965517241
73,404.9310344827586
74,403.6551724137931
75,403.55172413793105
76,408.0
77,419.82758620689657
78,423.86206896551727
79,420.58620689655174
80,415.2413793103448
81,411.7931034482759
82,407.9310344827586
83,406.58620689655174
84,409.41379310344826
85,416.51724137931035
86,421.0689655172414
87,423.6551724137931
88,424.58620689655174
89,425.2068965517241
90,424.3448275862069
91,424.62068965517244
92,421.37931034482756
93,421.7241379310345
94,426.1034482758621
95,431.55172413793105
96,436.6896551724138
97,436.0689655172414
98,428.82758620689657
99,420.6551724137931
100,416.0344827586207
101,416.6551724137931
102,423.37931034482756
103,427.13793103448273
104,423.41379310344826
105,418.37931034482756
106,418.2758620689655
107,418.7241379310345
108,414.0689655172414
109,419.7241379310345
110,422.62068965517244
111,421.2758620689655
112,414.0689655172414
113,410.6551724137931
114,407.44827586206895
115,402.7586206896552
116,399.58620689655174
117,398.7931034482759
118,400.44827586206895
119,395.86206896551727
120,389.2413793103448
121,385.9310344827586
122,381.3448275862069
123,376.55172413793105
124,375.17241379310343
125,377.0689655172414
