,y
0,363.6551724137931
1,368.2610837438424
2,364.2216748768473
3,366.70443349753697
4,365.0049261083744
5,377.1330049261083
6,375.615763546798
7,370.71921182266004
8,385.7241379310345
9,398.06403940886696
10,404.9261083743842
11,415.1182266009852
12,420.6847290640394
13,428.30541871921184
14,422.3004926108374
15,419.00985221674875
16,404.82266009852214
17,383.0246305418719
18,377.0394088669951
19,380.85221674876846
20,394.48275862068965
21,392.62561576354676
22,385.6847290640394
23,375.32512315270935
24,376.53201970443354
25,380.03448275862064
26,366.92610837438417
27,369.75862068965523
28,366.03448275862075
29,388.2019704433497
30,390.51231527093597
31,368.85221674876846
32,364.65517241379314
33,351.96551724137925
34,352.98029556650243
35,360.320197044335
36,360.7536945812808
37,363.7931034482758
38,364.32019704433503
39,360.55665024630537
40,356.55665024630537
41,360.43349753694577
42,367.9901477832513
43,364.32019704433503
44,370.05911330049264
45,370.256157635468
46,368.8374384236453
47,361.91133004926104
48,363.4926108374384
49,366.91133004926104
50,362.85714285714283
51,367.40517241379314
52,363.6551724137931
53,368.2610837438424
54,364.2216748768473
55,366.70443349753697
56,365.0049261083744
57,377.1330049261083
58,375.615763546798
59,370.71921182266004
60,385.7241379310345
61,398.06403940886696
62,404.9261083743842
63,415.1182266009852
64,420.6847290640394
65,428.30541871921184
66,422.3004926108374
67,419.00985221674875
68,404.82266009852214
69,383.0246305418719
70,377.0394088669951
71,380.85221674876846
72,394.48275862068965
73,392.62561576354676
74,385.6847290640394
75,375.32512315270935
76,376.53201970443354
77,380.03448275862064
78,366.92610837438417
79,369.75862068965523
80,366.03448275862075
81,388.2019704433497
82,390.51231527093597
83,368.85221674876846
84,364.65517241379314
85,351.96551724137925
86,352.98029556650243
87,360.320197044335
88,360.7536945812808
89,363.7931034482758
90,364.32019704433503
91,360.55665024630537
92,356.55665024630537
93,360.43349753694577
94,367.9901477832513
95,364.32019704433503
96,370.05911330049264
97,370.256157635468
98,368.8374384236453
99,361.91133004926104
100,363.4926108374384
101,366.91133004926104
102,362.85714285714283
103,367.40517241379314
104,363.6551724137931
105,368.2610837438424
106,364.2216748768473
107,366.70443349753697
108,365.0049261083744
109,377.1330049261083
110,375.615763546798
111,370.71921182266004
112,385.7241379310345
113,398.06403940886696
114,404.9261083743842
115,415.1182266009852
116,420.6847290640394
117,428.30541871921184
118,422.3004926108374
119,419.00985221674875
120,404.82266009852214
121,383.0246305418719
122,377.0394088669951
123,380.85221674876846
124,394.48275862068965
125,392.62561576354676
126,385.6847290640394
127,375.32512315270935
128,376.53201970443354
129,380.03448275862064
130,366.92610837438417
131,369.75862068965523
132,366.03448275862075
133,388.2019704433497
134,390.51231527093597
135,368.85221674876846
136,364.65517241379314
137,351.96551724137925
138,352.98029556650243
139,360.320197044335
140,360.7536945812808
141,363.7931034482758
142,364.32019704433503
143,360.55665024630537
144,356.55665024630537
145,360.43349753694577
146,367.9901477832513
147,364.32019704433503
148,370.05911330049264
149,370.256157635468
150,368.8374384236453
151,361.91133004926104
152,363.4926108374384
153,366.91133004926104
154,362.85714285714283
155,367.40517241379314
156,363.6551724137931
157,368.2610837438424
158,364.2216748768473
159,366.70443349753697
160,365.0049261083744
161,377.1330049261083
162,375.615763546798
163,370.71921182266004
164,385.7241379310345
165,398.06403940886696
166,404.9261083743842
167,415.1182266009852
168,420.6847290640394
169,428.30541871921184
170,422.3004926108374
171,419.00985221674875
172,404.82266009852214
173,383.0246305418719
174,377.0394088669951
175,380.85221674876846
176,394.48275862068965
177,392.62561576354676
178,385.6847290640394
179,375.32512315270935
180,376.53201970443354
181,380.03448275862064
182,366.92610837438417
183,369.75862068965523
184,366.03448275862075
185,388.2019704433497
186,390.51231527093597
187,368.85221674876846
188,364.65517241379314
189,351.96551724137925
190,352.98029556650243
191,360.320197044335
192,360.7536945812808
193,363.7931034482758
194,364.32019704433503
195,360.55665024630537
196,356.55665024630537
197,360.43349753694577
198,367.9901477832513
199,364.32019704433503
200,370.05911330049264
201,370.256157635468
202,368.8374384236453
203,361.91133004926104
204,363.4926108374384
205,366.91133004926104
206,362.85714285714283
207,367.40517241379314
208,363.6551724137931
209,368.2610837438424
210,364.2216748768473
211,366.70443349753697
212,365.0049261083744
213,377.1330049261083
214,375.615763546798
215,370.71921182266004
216,385.7241379310345
217,398.06403940886696
218,404.9261083743842
219,415.1182266009852
220,420.6847290640394
221,428.30541871921184
222,422.3004926108374
223,419.00985221674875
224,404.82266009852214
225,383.0246305418719
226,377.0394088669951
227,380.85221674876846
228,394.48275862068965
229,392.62561576354676
230,385.6847290640394
231,375.32512315270935
232,376.53201970443354
233,380.03448275862064
234,366.92610837438417
235,369.75862068965523
236,366.03448275862075
237,388.2019704433497
238,390.51231527093597
239,368.85221674876846
240,364.65517241379314
241,351.96551724137925
242,352.98029556650243
243,360.320197044335
244,360.7536945812808
245,363.7931034482758
246,364.32019704433503
247,360.55665024630537
248,356.55665024630537
249,360.43349753694577
250,367.9901477832513
251,364.32019704433503
252,370.05911330049264
253,370.256157635468
254,368.8374384236453
255,361.91133004926104
256,363.4926108374384
257,366.91133004926104
258,362.85714285714283
259,367.40517241379314
260,363.6551724137931
261,368.2610837438424
262,364.2216748768473
263,366.70443349753697
264,365.0049261083744
265,377.1330049261083
266,375.615763546798
267,370.71921182266004
268,385.7241379310345
269,398.06403940886696
270,404.9261083743842
271,415.1182266009852
272,420.6847290640394
273,428.30541871921184
274,422.3004926108374
275,419.00985221674875
276,404.82266009852214
277,383.0246305418719
278,377.0394088669951
279,380.85221674876846
280,394.48275862068965
281,392.62561576354676
282,385.6847290640394
283,375.32512315270935
284,376.53201970443354
285,380.03448275862064
286,366.92610837438417
287,369.75862068965523
288,366.03448275862075
289,388.2019704433497
290,390.51231527093597
291,368.85221674876846
292,364.65517241379314
293,351.96551724137925
294,352.98029556650243
295,360.320197044335
296,360.7536945812808
297,363.7931034482758
298,364.32019704433503
299,360.55665024630537
300,356.55665024630537
301,360.43349753694577
302,367.9901477832513
303,364.32019704433503
304,370.05911330049264
305,370.256157635468
306,368.8374384236453
307,361.91133004926104
308,363.4926108374384
309,366.91133004926104
310,362.85714285714283
311,367.40517241379314
312,363.6551724137931
313,368.2610837438424
314,364.2216748768473
315,366.70443349753697
316,365.0049261083744
317,377.1330049261083
318,375.615763546798
319,370.71921182266004
320,385.7241379310345
321,398.06403940886696
322,404.9261083743842
323,415.1182266009852
324,420.6847290640394
325,428.30541871921184
326,422.3004926108374
327,419.00985221674875
328,404.82266009852214
329,383.0246305418719
330,377.0394088669951
331,380.85221674876846
332,394.48275862068965
333,392.62561576354676
334,385.6847290640394
335,375.32512315270935
